,,,,,,,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 20,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Inside 10,Snap Counts,Snap Counts,Snap Counts,Snap Counts,Snap Counts,Snap Counts,,,
,,,,,,,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Off.,Off.,Def.,Def.,ST,ST,Fantasy,Fantasy,Fantasy
Rk,G#,Date,Tm,Opp,Result,Pos,Cmp,Att,Yds,TD,Att,Yds,TD,Cmp,Att,Yds,TD,Att,Yds,TD,Num,Pct,Num,Pct,Num,Pct,FantPt,DKPt,FDPt
6,6,2017-10-22,ATL,NWE,L 7-23,QB,4,9,22,1,0,0,0,2,3,1,1,0,0,0,57,100.0%,0,0.0%,0,0.0%,17.02,17,17
7,7,2017-10-29,ATL,NYJ,W 25-20,QB,2,9,9,2,3,1,0,2,4,1,2,2,0,0,66,100.0%,0,0.0%,0,0.0%,15.86,17.9,15.9
8,8,2017-11-05,ATL,CAR,L 17-20,QB,2,3,25,2,0,0,0,1,2,0,1,0,0,0,60,100.0%,0,0.0%,0,0.0%,18.42,22.4,19.4
9,9,2017-11-12,ATL,DAL,W 27-7,QB,4,5,22,2,0,0,0,3,3,1,2,0,0,0,65,100.0%,0,0.0%,0,0.0%,14.6,15.6,15.6
10,10,2017-11-20,ATL,SEA,W 34-31,QB,2,4,13,1,0,0,0,1,3,0,1,0,0,0,62,100.0%,0,0.0%,0,0.0%,17,17,17
11,11,2017-11-26,ATL,TAM,W 34-20,QB,0,3,0,0,0,0,0,0,0,0,0,0,0,0,64,100.0%,0,0.0%,0,0.0%,16.78,19.8,16.8
12,12,2017-12-03,ATL,MIN,L 9-14,QB,,,,,,,,,,,,,,,53,100.0%,0,0.0%,0,0.0%,7.02,7,7
13,13,2017-12-07,ATL,NOR,W 20-17,QB,2,6,15,1,1,2,0,2,5,0,1,0,0,0,74,100.0%,0,0.0%,0,0.0%,6.84,9.8,9.8
14,14,2017-12-18,ATL,TAM,W 24-21,QB,2,6,23,1,0,0,0,1,2,0,1,0,0,0,70,100.0%,0,0.0%,0,0.0%,15.38,15.4,15.4
15,15,2017-12-24,ATL,NOR,L 13-23,QB,2,4,19,1,0,0,0,1,2,0,0,0,0,0,64,100.0%,0,0.0%,0,0.0%,14.22,15.2,15.2
16,16,2017-12-31,ATL,CAR,W 22-10,QB,1,3,19,1,0,0,0,0,0,0,0,0,0,0,72,100.0%,0,0.0%,0,0.0%,18.08,21.1,18.1
